Year,Origin,Dest,Distance,Flights_Count,DepDelay_Sum,ArrDelay_Sum
2001,SJU,EWR,1608,2449,218,244
2001,SLC,ANC,2125,851,44,50
2001,SLC,BZN,347,728,161,173
2001,SLC,OKC,866,689,95,122
2001,SLC,PDX,630,2877,358,414
2001,SLC,SMF,532,1086,196,221
2001,SMF,DEN,910,2190,308,336
2001,SMF,LAS,397,3206,816,785
2001,SMF,SLC,532,1088,140,172
2001,SNA,MSP,1522,985,75,77
2001,SNA,OGG,2513,152,12,9
2001,SNA,ORD,1726,3631,495,605
2001,SRQ,CLE,967,121,2,4
2001,STL,ABQ,934,2193,267,300
2001,STL,ATL,483,4849,944,1106
2001,STL,DCA,719,2043,341,369
2001,STL,JAX,753,1090,162,191
2001,STL,MDW,251,4938,1047,1073
2001,STL,MEM,256,662,52,79
2001,STL,MSP,449,5061,731,887
2001,STL,PDX,1708,1154,80,101
2001,STL,SGF,195,2026,401,455
2001,STL,TUL,351,3419,634,671
2001,STT,STX,45,365,101,127
2001,SYR,DCA,298,802,160,193
2001,SYR,PHL,228,1422,286,390
2001,TPA,CVG,773,1780,181,204
2001,TPA,EWR,998,2085,369,349
2001,TPA,RDU,587,726,98,93
2001,TUL,ATL,674,1409,198,204
2001,TUL,ORD,585,1712,306,364
2001,TUL,PHX,935,1047,109,107
2001,TUL,STL,351,3386,454,488
2001,TUS,CVG,1548,687,71,79
2001,TUS,DEN,639,1178,188,188
2001,TUS,ORD,1437,1093,144,153
2001,TUS,SAN,367,1091,214,232
2001,TYR,DFW,103,3187,475,678
2001,VPS,ATL,264,359,73,83
2001,XNA,DFW,281,3693,871,995
2002,ABQ,AMA,277,691,201,216
2002,ABQ,CVG,1240,727,58,75
2002,ABQ,IAH,744,1625,68,113
2002,ABQ,MCO,1552,728,23,23
2002,ABQ,MDW,1121,365,6,5
2002,ABQ,TUS,321,1055,260,277
2002,ALB,BOS,145,95,9,10
2002,ALB,BWI,288,2386,430,414
2002,ALB,CVG,623,720,55,96
2002,AMA,ABQ,277,670,166,147
2002,ANC,DLG,329,160,29,32
2002,ANC,JNU,571,1182,191,201
2002,ATL,EWR,745,6702,1070,1179
2002,ATL,JFK,760,734,152,196
2002,ATL,LAS,1747,2322,168,221
2002,ATL,LGA,761,5722,981,1273
2002,ATL,ORD,606,8534,1470,2039
2002,ATL,PDX,2172,730,50,52
2002,ATL,PSP,1840,30,1,1
2002,ATL,SDF,321,2148,471,642
2002,ATL,SLC,1589,2674,133,188
2002,ATL,SNA,1919,1062,53,85
2002,ATL,SRQ,445,1971,353,471
2002,AUS,ELP,528,1359,230,188
2002,AUS,IAH,140,3420,361,529
2002,AUS,SAN,1164,364,8,5
2002,BDL,CVG,661,1442,80,155
2002,BDL,DFW,1471,1410,63,95
2002,BDL,DTW,548,1476,162,197
2002,BDL,FLL,1173,1085,73,108
2002,BDL,MCO,1050,2134,137,157
2002,BHM,DFW,597,1072,86,100
2002,BHM,IAH,562,647,33,75
2002,BHM,PHX,1455,365,4,4
2002,BHM,SDF,323,694,182,163
2002,BMI,ORD,116,901,235,248
2001,SEA,SMF,605,3291,747,769
2001,SFO,ABQ,896,16,4,4
2001,SFO,ATL,2139,2923,291,310
2001,SFO,BOS,2704,3132,355,370
2001,SFO,CVG,2036,1385,100,96
2001,SFO,DEN,967,4753,884,887
2001,SFO,MSY,1911,368,36,35
2001,SIT,KTN,183,365,109,128
2001,SJC,CVG,2017,273,27,29
2001,SJC,MCI,1479,365,23,23
2001,SJC,ORD,1829,4504,562,634
2001,SJU,MAZ,76,61,28,38
2001,SJU,STX,94,179,55,78
2001,SLC,ATL,1589,2900,247,304
2001,SLC,BWI,1864,368,25,25
